"scientific_name","midpoint_cc","releveCode"
"Asclepias verticillata",3,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Asclepias viridiflora",2,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Asclepias viridiflora",3,"Dry Barrens Prairie Southern"
"Asclepias viridiflora",2,"Dry Sand Gravel Prairie Southern"
"Asclepias viridiflora",3,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Asparagus officinalis",3,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Asparagus officinalis",1,"Dry Barrens Prairie Southern"
"Asparagus officinalis",3,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Asparagus officinalis",3,"SOUTHERN MESIC PRAIRIE"
"Aster borealis",3,"NORTHERN WET MEADOW/CARR, SEDGE MEADOW TYPE"
"Aster borealis",3,"SOUTHERN RICH CONIFER SWAMP"
"Aster borealis",3,"SOUTHERN SEEPAGE MEADOW/CARR"
"Aster cordifolius",2,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
"Aster cordifolius",5,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Aster cordifolius",1,"SOUTHERN TERRACE FOREST"
"Aster cordifolius",3,"SOUTHERN WET-MESIC HARDWOOD FOREST"
"Aster drummondii",1,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Aster ericoides",3,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Aster ericoides",3,"Dry Barrens Prairie Southern"
"Aster ericoides",19,"Dry Sand Gravel Prairie Southern"
"Aster ericoides",3,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Aster ericoides",2,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Aster ericoides",6,"SOUTHERN MESIC PRAIRIE"
"Aster firmus",18,"NORTHERN WET MEADOW/CARR, SEDGE MEADOW TYPE"
"Aster firmus",3,"SOUTHERN RICH CONIFER SWAMP"
"Aster firmus",3,"SOUTHERN SEEPAGE MEADOW/CARR"
"Aster firmus",3,"SOUTHERN WET ASH SWAMP"
"Aster firmus",4,"SOUTHERN WET PRAIRIE"
"Aster laevis",3,"Dry Sand Gravel Prairie Southern"
"Aster laevis",5,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Aster laevis",3,"SOUTHERN MESIC PRAIRIE"
"Aster lanceolatus",2,"NORTHERN WET MEADOW/CARR, SEDGE MEADOW TYPE"
"Aster lanceolatus",3,"SOUTHERN MESIC PRAIRIE"
"Aster lanceolatus",3,"SOUTHERN WET PRAIRIE"
"Aster lateriflorus",1,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Aster macrophyllus",5,"CENTRAL MESIC HARDWOOD FOREST (EASTERN)"
"Aster macrophyllus",2,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Aster novae-angliae",3,"SOUTHERN MESIC PRAIRIE"
"Aster novae-angliae",4,"SOUTHERN SEEPAGE MEADOW/CARR"
"Aster novae-angliae",8,"SOUTHERN WET PRAIRIE"
"Aster oblongifolius",9,"Dry Sand Gravel Prairie Southern"
"Aster ontarionis",1,"SOUTHERN RICH CONIFER SWAMP"
"Aster ontarionis",3,"SOUTHERN TERRACE FOREST"
"Aster ontarionis",3,"SOUTHERN WET ASH SWAMP"
"Aster ontarionis",4,"Southern Floodplain Forest"
"Aster oolentangiensis",3,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Aster oolentangiensis",3,"Dry Barrens Prairie Southern"
"Aster oolentangiensis",2,"Dry Sand Gravel Prairie Southern"
"Aster oolentangiensis",4,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Aster oolentangiensis",3,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Aster oolentangiensis",7,"SOUTHERN MESIC PRAIRIE"
"Aster prenanthoides",3,"Dry Sand Gravel Prairie Southern"
